class;source_image;copied_image
forward;Records/#Record_2025-07-02_14-28-50/Images/1751460117229.png;analysis_result/#Record_2025-07-02_14-28-50/examples/forward_1.png
forward;Records/#Record_2025-07-02_14-28-50/Images/1751459378634.png;analysis_result/#Record_2025-07-02_14-28-50/examples/forward_2.png
forward;Records/#Record_2025-07-02_14-28-50/Images/1751459529037.png;analysis_result/#Record_2025-07-02_14-28-50/examples/forward_3.png
light_left;Records/#Record_2025-07-02_14-28-50/Images/1751459440049.png;analysis_result/#Record_2025-07-02_14-28-50/examples/light_left_1.png
light_left;Records/#Record_2025-07-02_14-28-50/Images/1751459376065.png;analysis_result/#Record_2025-07-02_14-28-50/examples/light_left_2.png
light_left;Records/#Record_2025-07-02_14-28-50/Images/1751459851264.png;analysis_result/#Record_2025-07-02_14-28-50/examples/light_left_3.png
light_right;Records/#Record_2025-07-02_14-28-50/Images/1751459354097.png;analysis_result/#Record_2025-07-02_14-28-50/examples/light_right_1.png
light_right;Records/#Record_2025-07-02_14-28-50/Images/1751459503699.png;analysis_result/#Record_2025-07-02_14-28-50/examples/light_right_2.png
light_right;Records/#Record_2025-07-02_14-28-50/Images/1751459987737.png;analysis_result/#Record_2025-07-02_14-28-50/examples/light_right_3.png
sharp_left;Records/#Record_2025-07-02_14-28-50/Images/1751459347565.png;analysis_result/#Record_2025-07-02_14-28-50/examples/sharp_left_1.png
sharp_left;Records/#Record_2025-07-02_14-28-50/Images/1751459348542.png;analysis_result/#Record_2025-07-02_14-28-50/examples/sharp_left_2.png
sharp_left;Records/#Record_2025-07-02_14-28-50/Images/1751460182571.png;analysis_result/#Record_2025-07-02_14-28-50/examples/sharp_left_3.png
sharp_right;Records/#Record_2025-07-02_14-28-50/Images/1751459404938.png;analysis_result/#Record_2025-07-02_14-28-50/examples/sharp_right_1.png
sharp_right;Records/#Record_2025-07-02_14-28-50/Images/1751459401934.png;analysis_result/#Record_2025-07-02_14-28-50/examples/sharp_right_2.png
backward;Records/#Record_2025-07-02_14-28-50/Images/1751459535657.png;analysis_result/#Record_2025-07-02_14-28-50/examples/backward_1.png
backward;Records/#Record_2025-07-02_14-28-50/Images/1751460177450.png;analysis_result/#Record_2025-07-02_14-28-50/examples/backward_2.png
backward;Records/#Record_2025-07-02_14-28-50/Images/1751460196280.png;analysis_result/#Record_2025-07-02_14-28-50/examples/backward_3.png
stop;Records/#Record_2025-07-02_14-28-50/Images/1751459511155.png;analysis_result/#Record_2025-07-02_14-28-50/examples/stop_1.png
stop;Records/#Record_2025-07-02_14-28-50/Images/1751459384389.png;analysis_result/#Record_2025-07-02_14-28-50/examples/stop_2.png
stop;Records/#Record_2025-07-02_14-28-50/Images/1751459826048.png;analysis_result/#Record_2025-07-02_14-28-50/examples/stop_3.png
