class;source_image;copied_image
forward;Record_V2/Record_2025-08-11_18-34-54/Images/1754930117692.png;analysis_result/Record_2025-08-11_18-34-54/examples/forward_1.png
forward;Record_V2/Record_2025-08-11_18-34-54/Images/1754930117976.png;analysis_result/Record_2025-08-11_18-34-54/examples/forward_2.png
forward;Record_V2/Record_2025-08-11_18-34-54/Images/1754930114105.png;analysis_result/Record_2025-08-11_18-34-54/examples/forward_3.png
light_left;Record_V2/Record_2025-08-11_18-34-54/Images/1754930114923.png;analysis_result/Record_2025-08-11_18-34-54/examples/light_left_1.png
light_left;Record_V2/Record_2025-08-11_18-34-54/Images/1754930117831.png;analysis_result/Record_2025-08-11_18-34-54/examples/light_left_2.png
light_left;Record_V2/Record_2025-08-11_18-34-54/Images/1754930114811.png;analysis_result/Record_2025-08-11_18-34-54/examples/light_left_3.png
light_right;Record_V2/Record_2025-08-11_18-34-54/Images/1754930113799.png;analysis_result/Record_2025-08-11_18-34-54/examples/light_right_1.png
light_right;Record_V2/Record_2025-08-11_18-34-54/Images/1754930113632.png;analysis_result/Record_2025-08-11_18-34-54/examples/light_right_2.png
backward;Record_V2/Record_2025-08-11_18-34-54/Images/1754930113404.png;analysis_result/Record_2025-08-11_18-34-54/examples/backward_1.png
backward;Record_V2/Record_2025-08-11_18-34-54/Images/1754930115778.png;analysis_result/Record_2025-08-11_18-34-54/examples/backward_2.png
backward;Record_V2/Record_2025-08-11_18-34-54/Images/1754930113494.png;analysis_result/Record_2025-08-11_18-34-54/examples/backward_3.png
stop;Record_V2/Record_2025-08-11_18-34-54/Images/1754930118252.png;analysis_result/Record_2025-08-11_18-34-54/examples/stop_1.png
stop;Record_V2/Record_2025-08-11_18-34-54/Images/1754930115816.png;analysis_result/Record_2025-08-11_18-34-54/examples/stop_2.png
stop;Record_V2/Record_2025-08-11_18-34-54/Images/1754930115863.png;analysis_result/Record_2025-08-11_18-34-54/examples/stop_3.png
