start_time;end_time;duration_ms;direction_class;speedA;speedB;GPIO1;GPIO2;GPIO3;GPIO4
1751442718038;1751442718668;630;forward;50;50;1;0;0;1
1751442718668;1751442719396;728;stop;50;50;0;0;0;0
1751442719396;1751442719558;162;forward;50;50;1;0;0;1
1751442719558;1751442720260;702;stop;50;50;0;0;0;0
1751442720260;1751442720630;370;stop;0;50;0;0;0;0
1751442720630;1751442722301;1671;light_left;0;50;1;0;0;1
1751442722301;1751442723272;971;stop;50;50;0;0;0;0
1751442723272;1751442723828;556;forward;50;50;1;0;0;1
1751442723828;1751442724170;342;stop;50;50;0;0;0;0
1751442724170;1751442724730;560;stop;0;50;0;0;0;0
1751442724730;1751442726589;1859;light_left;0;50;1;0;0;1
1751442726589;1751442727402;813;stop;50;50;0;0;0;0
1751442727402;1751442728039;637;sharp_left;50;50;0;1;0;1
1751442728039;1751442729224;1185;stop;50;50;0;0;0;0
1751442729224;1751442729465;241;forward;50;50;1;0;0;1
1751442729465;1751442729921;456;light_right;50;0;1;0;0;1
1751442729921;1751442730054;133;forward;50;50;1;0;0;1
1751442730054;1751442730870;816;stop;50;50;0;0;0;0
1751442730870;1751442731187;317;forward;50;50;1;0;0;1
1751442731187;1751442732201;1014;stop;50;50;0;0;0;0
1751442732201;1751442732807;606;light_right;50;0;1;0;0;1
1751442732807;1751442732939;132;forward;50;50;1;0;0;1
1751442732939;1751442733774;835;stop;50;50;0;0;0;0
1751442733774;1751442734015;241;forward;50;50;1;0;0;1
1751442734015;1751442734498;483;stop;50;50;0;0;0;0
1751442734498;1751442734814;316;stop;0;50;0;0;0;0
1751442734814;1751442735474;660;light_left;0;50;1;0;0;1
1751442735474;1751442735653;179;forward;50;50;1;0;0;1
1751442735653;1751442736382;729;stop;50;50;0;0;0;0
1751442736382;1751442736742;360;stop;0;50;0;0;0;0
1751442736742;1751442737007;265;light_left;0;50;1;0;0;1
1751442737007;1751442737119;112;forward;50;50;1;0;0;1
1751442737119;1751442738044;925;stop;50;50;0;0;0;0
1751442738044;1751442738738;694;stop;0;50;0;0;0;0
1751442738738;1751442738877;139;light_left;0;50;1;0;0;1
1751442738877;1751442739902;1025;stop;0;50;0;0;0;0
1751442739902;1751442740041;139;light_left;0;50;1;0;0;1
1751442740041;1751442740617;576;stop;0;50;0;0;0;0
1751442740617;1751442740966;349;stop;50;50;0;0;0;0
1751442740966;1751442741240;274;forward;50;50;1;0;0;1
1751442741240;1751442741606;366;stop;50;50;0;0;0;0
1751442741606;1751442741824;218;forward;50;50;1;0;0;1
1751442741824;1751442742900;1076;stop;50;50;0;0;0;0
1751442742900;1751442743057;157;backward;50;50;0;1;1;0
1751442743057;1751442743441;384;stop;50;50;0;0;0;0
1751442743441;1751442743725;284;forward;50;50;1;0;0;1
1751442743725;1751442744028;303;light_left;0;50;1;0;0;1
1751442744028;1751442747018;2990;stop;50;50;0;0;0;0
1751442747018;1751442747472;454;sharp_left;50;50;0;1;0;1
1751442747472;1751442747800;328;stop;50;50;0;0;0;0
1751442747800;1751442748333;533;sharp_left;50;50;0;1;0;1
1751442748333;1751442748872;539;stop;50;50;0;0;0;0
1751442748872;1751442749331;459;sharp_left;50;50;0;1;0;1
1751442749331;1751442750127;796;stop;50;50;0;0;0;0
1751442750127;1751442750239;112;sharp_left;50;50;0;1;0;1
1751442750239;1751442751178;939;stop;50;50;0;0;0;0
1751442751178;1751442751600;422;forward;50;50;1;0;0;1
1751442751600;1751442752265;665;stop;50;50;0;0;0;0
1751442752265;1751442752880;615;forward;50;50;1;0;0;1
1751442752880;1751442753803;923;stop;50;50;0;0;0;0
1751442753803;1751442754210;407;backward;50;50;0;1;1;0
1751442754210;1751442755184;974;stop;50;50;0;0;0;0
1751442755184;1751442755612;428;light_right;50;0;1;0;0;1
1751442755612;1751442756323;711;stop;50;50;0;0;0;0
1751442756323;1751442756894;571;forward;50;50;1;0;0;1
1751442756894;1751442757559;665;stop;50;50;0;0;0;0
1751442757559;1751442757960;401;stop;0;50;0;0;0;0
1751442757960;1751442759214;1254;light_left;0;50;1;0;0;1
1751442759214;1751442759322;108;forward;50;50;1;0;0;1
1751442759322;1751442759633;311;stop;50;50;0;0;0;0
1751442759633;1751442759969;336;stop;0;50;0;0;0;0
1751442759969;1751442760857;888;light_left;0;50;1;0;0;1
1751442760857;1751442761996;1139;stop;0;50;0;0;0;0
1751442761996;1751442762540;544;forward;50;50;1;0;0;1
1751442762540;1751442763044;504;stop;50;50;0;0;0;0
1751442763044;1751442763352;308;forward;50;50;1;0;0;1
1751442763352;1751442763739;387;stop;50;50;0;0;0;0
1751442763739;1751442764136;397;stop;0;50;0;0;0;0
1751442764136;1751442764261;125;light_left;0;50;1;0;0;1
1751442764261;1751442764867;606;stop;0;50;0;0;0;0
1751442764867;1751442765702;835;forward;50;50;1;0;0;1
1751442765702;1751442766010;308;stop;50;50;0;0;0;0
1751442766010;1751442766590;580;stop;0;50;0;0;0;0
1751442766590;1751442768282;1692;stop;50;50;0;0;0;0
1751442768282;1751442769006;724;sharp_left;50;50;0;1;0;1
1751442769006;1751442769456;450;stop;50;50;0;0;0;0
1751442769456;1751442769854;398;sharp_left;50;50;0;1;0;1
1751442769854;1751442770484;630;stop;50;50;0;0;0;0
1751442770484;1751442770605;121;sharp_left;50;50;0;1;0;1
1751442770605;1751442771325;720;stop;50;50;0;0;0;0
1751442771325;1751442771959;634;forward;50;50;1;0;0;1
1751442771959;1751442772752;793;stop;0;50;0;0;0;0
1751442772752;1751442773218;466;light_left;0;50;1;0;0;1
1751442773218;1751442773699;481;stop;0;50;0;0;0;0
1751442773699;1751442774530;831;light_left;0;50;1;0;0;1
1751442774530;1751442774964;434;stop;50;50;0;0;0;0
1751442774964;1751442775586;622;stop;0;50;0;0;0;0
1751442775586;1751442775767;181;light_left;0;50;1;0;0;1
1751442775767;1751442776163;396;stop;0;50;0;0;0;0
1751442776163;1751442776584;421;light_left;0;50;1;0;0;1
1751442776584;1751442777432;848;stop;0;50;0;0;0;0
1751442777432;1751442777782;350;forward;50;50;1;0;0;1
1751442777782;1751442778335;553;stop;0;50;0;0;0;0
1751442778335;1751442779369;1034;light_left;0;50;1;0;0;1
1751442779369;1751442779477;108;forward;50;50;1;0;0;1
1751442779477;1751442780350;873;stop;50;50;0;0;0;0
1751442780350;1751442780534;184;forward;50;50;1;0;0;1
1751442780534;1751442781047;513;stop;50;0;0;0;0;0
1751442781047;1751442782560;1513;light_right;50;0;1;0;0;1
1751442782560;1751442783640;1080;stop;50;50;0;0;0;0
1751442783640;1751442783864;224;backward;50;50;0;1;1;0
1751442783864;1751442784584;720;stop;50;50;0;0;0;0
1751442784584;1751442784801;217;forward;50;50;1;0;0;1
1751442784801;1751442785174;373;light_left;0;50;1;0;0;1
1751442785174;1751442786058;884;stop;50;50;0;0;0;0
1751442786058;1751442786166;108;backward;50;50;0;1;1;0
1751442786166;1751442786514;348;stop;50;50;0;0;0;0
1751442786514;1751442788656;2142;light_left;0;50;1;0;0;1
1751442788656;1751442789703;1047;stop;0;50;0;0;0;0
1751442789703;1751442790051;348;forward;50;50;1;0;0;1
1751442790051;1751442790534;483;stop;50;50;0;0;0;0
1751442790534;1751442791164;630;stop;0;50;0;0;0;0
1751442791164;1751442793214;2050;light_left;0;50;1;0;0;1
1751442793214;1751442793888;674;stop;50;50;0;0;0;0
1751442793888;1751442794798;910;forward;50;50;1;0;0;1
1751442794798;1751442795491;693;stop;50;50;0;0;0;0
1751442795491;1751442797106;1615;light_left;0;50;1;0;0;1
1751442797106;1751442797762;656;forward;50;50;1;0;0;1
1751442797762;1751442798438;676;stop;50;50;0;0;0;0
1751442798438;1751442798711;273;backward;50;50;0;1;1;0
1751442798711;1751442799273;562;stop;50;50;0;0;0;0
1751442799273;1751442799600;327;stop;0;50;0;0;0;0
1751442799600;1751442800738;1138;light_left;0;50;1;0;0;1
1751442800738;1751442801711;973;stop;50;50;0;0;0;0
1751442801711;1751442802108;397;sharp_left;50;50;0;1;0;1
1751442802108;1751442802771;663;stop;50;50;0;0;0;0
1751442802771;1751442802894;123;sharp_left;50;50;0;1;0;1
1751442802894;1751442803542;648;stop;50;50;0;0;0;0
1751442803542;1751442804723;1181;forward;50;50;1;0;0;1
1751442804723;1751442805546;823;stop;50;50;0;0;0;0
1751442805546;1751442807690;2144;light_left;0;50;1;0;0;1
1751442807690;1751442808117;427;forward;50;50;1;0;0;1
1751442808117;1751442808756;639;stop;50;50;0;0;0;0
1751442808756;1751442809073;317;stop;0;50;0;0;0;0
1751442809073;1751442809956;883;light_left;0;50;1;0;0;1
1751442809956;1751442810696;740;stop;50;50;0;0;0;0
1751442810696;1751442810864;168;light_left;0;50;1;0;0;1
1751442810864;1751442811190;326;stop;0;50;0;0;0;0
1751442811190;1751442811618;428;stop;50;50;0;0;0;0
1751442811618;1751442812099;481;forward;50;50;1;0;0;1
1751442812099;1751442813789;1690;stop;50;50;0;0;0;0
1751442813789;1751442814831;1042;sharp_left;50;50;0;1;0;1
1751442814831;1751442815516;685;stop;50;50;0;0;0;0
1751442815516;1751442815840;324;sharp_left;50;50;0;1;0;1
1751442815840;1751442816686;846;stop;50;50;0;0;0;0
1751442816686;1751442817592;906;forward;50;50;1;0;0;1
1751442817592;1751442817991;399;stop;50;50;0;0;0;0
1751442817991;1751442819297;1306;light_right;50;0;1;0;0;1
1751442819297;1751442820588;1291;stop;50;50;0;0;0;0
1751442820588;1751442820725;137;forward;50;50;1;0;0;1
1751442820725;1751442821163;438;stop;0;50;0;0;0;0
1751442821163;1751442822465;1302;light_left;0;50;1;0;0;1
1751442822465;1751442822572;107;forward;50;50;1;0;0;1
1751442822572;1751442823163;591;stop;50;50;0;0;0;0
1751442823163;1751442823708;545;forward;50;50;1;0;0;1
1751442823708;1751442824033;325;stop;50;50;0;0;0;0
1751442824033;1751442826218;2185;light_left;0;50;1;0;0;1
1751442826218;1751442826324;106;forward;50;50;1;0;0;1
1751442826324;1751442827196;872;stop;50;50;0;0;0;0
1751442827196;1751442827528;332;stop;0;50;0;0;0;0
1751442827528;1751442827715;187;light_left;0;50;1;0;0;1
1751442827715;1751442828334;619;stop;50;50;0;0;0;0
1751442828334;1751442829282;948;forward;50;50;1;0;0;1
1751442829282;1751442830312;1030;stop;50;50;0;0;0;0
1751442830312;1751442831527;1215;sharp_left;50;50;0;1;0;1
1751442831527;1751442834683;3156;stop;50;50;0;0;0;0
1751442834683;1751442834800;117;sharp_right;50;50;1;0;1;0
1751442834800;1751442835515;715;stop;50;50;0;0;0;0
1751442835515;1751442836310;795;forward;50;50;1;0;0;1
1751442836310;1751442836637;327;stop;50;0;0;0;0;0
1751442836637;1751442837171;534;light_right;50;0;1;0;0;1
1751442837171;1751442837281;110;forward;50;50;1;0;0;1
1751442837281;1751442837777;496;stop;0;50;0;0;0;0
1751442837777;1751442838084;307;light_left;0;50;1;0;0;1
1751442838084;1751442838428;344;stop;0;50;0;0;0;0
1751442838428;1751442838763;335;stop;50;50;0;0;0;0
1751442838763;1751442839650;887;forward;50;50;1;0;0;1
1751442839650;1751442839986;336;stop;0;50;0;0;0;0
1751442839986;1751442840455;469;light_left;0;50;1;0;0;1
1751442840455;1751442841109;654;stop;50;50;0;0;0;0
1751442841109;1751442841239;130;forward;50;50;1;0;0;1
1751442841239;1751442841668;429;stop;0;50;0;0;0;0
1751442841668;1751442842765;1097;light_left;0;50;1;0;0;1
1751442842765;1751442842870;105;forward;50;50;1;0;0;1
1751442842870;1751442843543;673;stop;50;50;0;0;0;0
1751442843543;1751442844042;499;forward;50;50;1;0;0;1
1751442844042;1751442846005;1963;light_left;0;50;1;0;0;1
1751442846005;1751442846658;653;stop;50;50;0;0;0;0
1751442846658;1751442847302;644;forward;50;50;1;0;0;1
1751442847302;1751442849143;1841;light_left;0;50;1;0;0;1
1751442849143;1751442849791;648;stop;50;50;0;0;0;0
1751442849791;1751442850337;546;forward;50;50;1;0;0;1
1751442850337;1751442851749;1412;light_right;50;0;1;0;0;1
1751442851749;1751442852281;532;stop;50;50;0;0;0;0
1751442852281;1751442852628;347;forward;50;50;1;0;0;1
1751442852628;1751442854045;1417;light_left;0;50;1;0;0;1
1751442854045;1751442854998;953;stop;50;50;0;0;0;0
1751442854998;1751442855256;258;light_left;0;50;1;0;0;1
1751442855256;1751442856075;819;stop;50;50;0;0;0;0
1751442856075;1751442856575;500;forward;50;50;1;0;0;1
1751442856575;1751442856912;337;stop;50;50;0;0;0;0
1751442856912;1751442858993;2081;light_left;0;50;1;0;0;1
1751442858993;1751442859664;671;stop;50;50;0;0;0;0
1751442859664;1751442860868;1204;forward;50;50;1;0;0;1
1751442860868;1751442863090;2222;light_left;0;50;1;0;0;1
1751442863090;1751442863674;584;stop;50;50;0;0;0;0
1751442863674;1751442865071;1397;forward;50;50;1;0;0;1
1751442865071;1751442865557;486;stop;50;50;0;0;0;0
1751442865557;1751442867513;1956;light_left;0;50;1;0;0;1
1751442867513;1751442867989;476;stop;50;50;0;0;0;0
1751442867989;1751442868576;587;forward;50;50;1;0;0;1
1751442868576;1751442868887;311;stop;50;50;0;0;0;0
1751442868887;1751442871349;2462;light_left;0;50;1;0;0;1
1751442871349;1751442871987;638;stop;50;50;0;0;0;0
1751442871987;1751442872399;412;forward;50;50;1;0;0;1
1751442872399;1751442872808;409;stop;50;50;0;0;0;0
1751442872808;1751442874243;1435;light_right;50;0;1;0;0;1
1751442874243;1751442874905;662;stop;50;50;0;0;0;0
1751442874905;1751442875427;522;forward;50;50;1;0;0;1
1751442875427;1751442877533;2106;light_left;0;50;1;0;0;1
1751442877533;1751442877984;451;stop;50;50;0;0;0;0
1751442877984;1751442878605;621;forward;50;50;1;0;0;1
1751442878605;1751442879141;536;stop;50;50;0;0;0;0
1751442879141;1751442879464;323;stop;0;50;0;0;0;0
1751442879464;1751442881353;1889;light_left;0;50;1;0;0;1
1751442881353;1751442882050;697;stop;50;50;0;0;0;0
1751442882050;1751442882291;241;light_right;50;0;1;0;0;1
1751442882291;1751442882844;553;stop;50;50;0;0;0;0
1751442882844;1751442883638;794;forward;50;50;1;0;0;1
1751442883638;1751442884132;494;stop;50;50;0;0;0;0
1751442884132;1751442884263;131;forward;50;50;1;0;0;1
1751442884263;1751442884726;463;stop;0;50;0;0;0;0
1751442884726;1751442886984;2258;light_left;0;50;1;0;0;1
1751442886984;1751442887092;108;forward;50;50;1;0;0;1
1751442887092;1751442888106;1014;stop;50;50;0;0;0;0
1751442888106;1751442888521;415;light_right;50;0;1;0;0;1
1751442888521;1751442888636;115;forward;50;50;1;0;0;1
1751442888636;1751442889203;567;stop;50;50;0;0;0;0
1751442889203;1751442889623;420;stop;0;50;0;0;0;0
1751442889623;1751442889855;232;light_left;0;50;1;0;0;1
1751442889855;1751442890546;691;stop;50;50;0;0;0;0
1751442890546;1751442891427;881;forward;50;50;1;0;0;1
1751442891427;1751442891925;498;stop;50;50;0;0;0;0
1751442891925;1751442892422;497;forward;50;50;1;0;0;1
1751442892422;1751442894558;2136;light_left;0;50;1;0;0;1
1751442894558;1751442894684;126;forward;50;50;1;0;0;1
1751442894684;1751442895363;679;stop;50;50;0;0;0;0
1751442895363;1751442895519;156;forward;50;50;1;0;0;1
1751442895519;1751442896526;1007;light_left;0;50;1;0;0;1
1751442896526;1751442896632;106;forward;50;50;1;0;0;1
1751442896632;1751442897166;534;stop;50;50;0;0;0;0
1751442897166;1751442897301;135;forward;50;50;1;0;0;1
1751442897301;1751442897762;461;stop;0;50;0;0;0;0
1751442897762;1751442899806;2044;light_left;0;50;1;0;0;1
1751442899806;1751442900290;484;stop;50;50;0;0;0;0
1751442900290;1751442901278;988;light_right;50;0;1;0;0;1
1751442901278;1751442901963;685;stop;50;50;0;0;0;0
1751442901963;1751442902589;626;forward;50;50;1;0;0;1
1751442902589;1751442903134;545;stop;50;50;0;0;0;0
1751442903134;1751442903367;233;forward;50;50;1;0;0;1
1751442903367;1751442903964;597;stop;0;50;0;0;0;0
1751442903964;1751442904334;370;light_left;0;50;1;0;0;1
1751442904334;1751442905081;747;stop;50;50;0;0;0;0
1751442905081;1751442905445;364;stop;0;50;0;0;0;0
1751442905445;1751442905637;192;light_left;0;50;1;0;0;1
1751442905637;1751442906297;660;stop;50;50;0;0;0;0
1751442906297;1751442906765;468;forward;50;50;1;0;0;1
1751442906765;1751442908128;1363;stop;50;50;0;0;0;0
1751442908128;1751442908767;639;sharp_left;50;50;0;1;0;1
1751442908767;1751442909304;537;stop;50;50;0;0;0;0
1751442909304;1751442909535;231;sharp_left;50;50;0;1;0;1
1751442909535;1751442910258;723;stop;50;50;0;0;0;0
1751442910258;1751442910720;462;forward;50;50;1;0;0;1
1751442910720;1751442911057;337;stop;50;50;0;0;0;0
1751442911057;1751442911710;653;light_left;0;50;1;0;0;1
1751442911710;1751442912689;979;stop;50;50;0;0;0;0
1751442912689;1751442912983;294;forward;50;50;1;0;0;1
1751442912983;1751442913355;372;stop;50;50;0;0;0;0
1751442913355;1751442913718;363;stop;0;50;0;0;0;0
1751442913718;1751442914041;323;light_left;0;50;1;0;0;1
1751442914041;1751442914681;640;stop;50;50;0;0;0;0
1751442914681;1751442915467;786;forward;50;50;1;0;0;1
1751442915467;1751442917572;2105;light_left;0;50;1;0;0;1
1751442917572;1751442918223;651;stop;50;50;0;0;0;0
1751442918223;1751442918438;215;light_right;50;0;1;0;0;1
1751442918438;1751442918549;111;forward;50;50;1;0;0;1
1751442918549;1751442919296;747;stop;50;50;0;0;0;0
1751442919296;1751442919768;472;forward;50;50;1;0;0;1
1751442919768;1751442920132;364;stop;0;50;0;0;0;0
1751442920132;1751442920481;349;light_left;0;50;1;0;0;1
1751442920481;1751442921176;695;stop;50;50;0;0;0;0
1751442921176;1751442922192;1016;forward;50;50;1;0;0;1
1751442922192;1751442923808;1616;stop;50;50;0;0;0;0
1751442923808;1751442924523;715;sharp_left;50;50;0;1;0;1
1751442924523;1751442925119;596;stop;50;50;0;0;0;0
1751442925119;1751442926069;950;forward;50;50;1;0;0;1
1751442926069;1751442926691;622;light_left;0;50;1;0;0;1
1751442926691;1751442927561;870;stop;50;50;0;0;0;0
1751442927561;1751442927869;308;stop;0;50;0;0;0;0
1751442927869;1751442928520;651;light_left;0;50;1;0;0;1
1751442928520;1751442928635;115;forward;50;50;1;0;0;1
1751442928635;1751442929500;865;stop;50;50;0;0;0;0
1751442929500;1751442929892;392;stop;0;50;0;0;0;0
1751442929892;1751442931836;1944;light_left;0;50;1;0;0;1
1751442931836;1751442932537;701;stop;50;50;0;0;0;0
1751442932537;1751442933009;472;forward;50;50;1;0;0;1
1751442933009;1751442933412;403;stop;50;50;0;0;0;0
