start_time;end_time;duration_ms;direction_class;speedA;speedB;GPIO1;GPIO2;GPIO3;GPIO4
1751442718038;1751442718668;630;forward;50;50;1;0;0;1
1751442718668;1751442719396;728;stop;50;50;0;0;0;0
1751442719396;1751442719558;162;forward;50;50;1;0;0;1
1751442719558;1751442720260;702;stop;50;50;0;0;0;0
1751442720260;1751442720630;370;stop;0;50;0;0;0;0
1751442720630;1751442722147;1517;light_left;0;50;1;0;0;1
1751442722147;1751442722301;154;stop;0;50;0;0;0;0
1751442722301;1751442723272;971;stop;50;50;0;0;0;0
1751442723272;1751442723828;556;forward;50;50;1;0;0;1
1751442723828;1751442724170;342;stop;50;50;0;0;0;0
1751442724170;1751442724730;560;stop;0;50;0;0;0;0
1751442724730;1751442726480;1750;light_left;0;50;1;0;0;1
1751442726480;1751442726589;109;stop;0;50;0;0;0;0
1751442726589;1751442727402;813;stop;50;50;0;0;0;0
1751442727402;1751442728039;637;sharp_left;50;50;0;1;0;1
1751442728039;1751442729224;1185;stop;50;50;0;0;0;0
1751442729224;1751442729465;241;forward;50;50;1;0;0;1
1751442729465;1751442729921;456;light_right;50;0;1;0;0;1
1751442729921;1751442730054;133;forward;50;50;1;0;0;1
1751442730054;1751442730870;816;stop;50;50;0;0;0;0
1751442730870;1751442731187;317;forward;50;50;1;0;0;1
1751442731187;1751442732045;858;stop;50;50;0;0;0;0
1751442732045;1751442732201;156;stop;50;0;0;0;0;0
1751442732201;1751442732807;606;light_right;50;0;1;0;0;1
1751442732807;1751442732939;132;forward;50;50;1;0;0;1
1751442732939;1751442733774;835;stop;50;50;0;0;0;0
1751442733774;1751442734015;241;forward;50;50;1;0;0;1
1751442734015;1751442734498;483;stop;50;50;0;0;0;0
1751442734498;1751442734814;316;stop;0;50;0;0;0;0
1751442734814;1751442735474;660;light_left;0;50;1;0;0;1
1751442735474;1751442735653;179;forward;50;50;1;0;0;1
1751442735653;1751442736382;729;stop;50;50;0;0;0;0
1751442736382;1751442736742;360;stop;0;50;0;0;0;0
1751442736742;1751442737007;265;light_left;0;50;1;0;0;1
1751442737007;1751442737119;112;forward;50;50;1;0;0;1
1751442737119;1751442738044;925;stop;50;50;0;0;0;0
1751442738044;1751442738738;694;stop;0;50;0;0;0;0
1751442738738;1751442738877;139;light_left;0;50;1;0;0;1
1751442738877;1751442739902;1025;stop;0;50;0;0;0;0
1751442739902;1751442740041;139;light_left;0;50;1;0;0;1
1751442740041;1751442740617;576;stop;0;50;0;0;0;0
1751442740617;1751442740966;349;stop;50;50;0;0;0;0
1751442740966;1751442741240;274;forward;50;50;1;0;0;1
1751442741240;1751442741606;366;stop;50;50;0;0;0;0
1751442741606;1751442741824;218;forward;50;50;1;0;0;1
1751442741824;1751442742900;1076;stop;50;50;0;0;0;0
1751442742900;1751442743057;157;backward;50;50;0;1;1;0
1751442743057;1751442743441;384;stop;50;50;0;0;0;0
1751442743441;1751442743725;284;forward;50;50;1;0;0;1
1751442743725;1751442744028;303;light_left;0;50;1;0;0;1
1751442744028;1751442744155;127;stop;0;50;0;0;0;0
1751442744155;1751442747018;2863;stop;50;50;0;0;0;0
1751442747018;1751442747472;454;sharp_left;50;50;0;1;0;1
1751442747472;1751442747800;328;stop;50;50;0;0;0;0
1751442747800;1751442748333;533;sharp_left;50;50;0;1;0;1
1751442748333;1751442748872;539;stop;50;50;0;0;0;0
1751442748872;1751442749331;459;sharp_left;50;50;0;1;0;1
1751442749331;1751442750127;796;stop;50;50;0;0;0;0
1751442750127;1751442750239;112;sharp_left;50;50;0;1;0;1
1751442750239;1751442751178;939;stop;50;50;0;0;0;0
1751442751178;1751442751364;186;forward;50;50;1;0;0;1
1751442751364;1751442751492;128;stop;50;50;0;0;0;0
1751442751492;1751442751600;108;forward;50;50;1;0;0;1
1751442751600;1751442752265;665;stop;50;50;0;0;0;0
1751442752265;1751442752880;615;forward;50;50;1;0;0;1
1751442752880;1751442753803;923;stop;50;50;0;0;0;0
1751442753803;1751442754210;407;backward;50;50;0;1;1;0
1751442754210;1751442754996;786;stop;50;50;0;0;0;0
1751442754996;1751442755184;188;stop;50;0;0;0;0;0
1751442755184;1751442755612;428;light_right;50;0;1;0;0;1
1751442755612;1751442755721;109;stop;50;0;0;0;0;0
1751442755721;1751442756323;602;stop;50;50;0;0;0;0
1751442756323;1751442756894;571;forward;50;50;1;0;0;1
1751442756894;1751442757559;665;stop;50;50;0;0;0;0
1751442757559;1751442757960;401;stop;0;50;0;0;0;0
1751442757960;1751442759214;1254;light_left;0;50;1;0;0;1
1751442759214;1751442759322;108;forward;50;50;1;0;0;1
1751442759322;1751442759633;311;stop;50;50;0;0;0;0
1751442759633;1751442759969;336;stop;0;50;0;0;0;0
1751442759969;1751442760590;621;light_left;0;50;1;0;0;1
1751442760590;1751442760751;161;stop;0;50;0;0;0;0
1751442760751;1751442760857;106;stop;50;50;0;0;0;0
1751442760857;1751442761238;381;stop;0;50;0;0;0;0
1751442761238;1751442761393;155;stop;50;50;0;0;0;0
1751442761393;1751442761742;349;stop;0;50;0;0;0;0
1751442761742;1751442761996;254;stop;50;50;0;0;0;0
1751442761996;1751442762540;544;forward;50;50;1;0;0;1
1751442762540;1751442763044;504;stop;50;50;0;0;0;0
1751442763044;1751442763352;308;forward;50;50;1;0;0;1
1751442763352;1751442763739;387;stop;50;50;0;0;0;0
1751442763739;1751442764136;397;stop;0;50;0;0;0;0
1751442764136;1751442764261;125;light_left;0;50;1;0;0;1
1751442764261;1751442764867;606;stop;0;50;0;0;0;0
1751442764867;1751442765064;197;stop;50;50;0;0;0;0
1751442765064;1751442765702;638;forward;50;50;1;0;0;1
1751442765702;1751442766010;308;stop;50;50;0;0;0;0
1751442766010;1751442766590;580;stop;0;50;0;0;0;0
1751442766590;1751442768282;1692;stop;50;50;0;0;0;0
1751442768282;1751442769006;724;sharp_left;50;50;0;1;0;1
1751442769006;1751442769456;450;stop;50;50;0;0;0;0
1751442769456;1751442769854;398;sharp_left;50;50;0;1;0;1
1751442769854;1751442770484;630;stop;50;50;0;0;0;0
1751442770484;1751442770605;121;sharp_left;50;50;0;1;0;1
1751442770605;1751442771325;720;stop;50;50;0;0;0;0
1751442771325;1751442771959;634;forward;50;50;1;0;0;1
1751442771959;1751442772109;150;stop;50;50;0;0;0;0
1751442772109;1751442772752;643;stop;0;50;0;0;0;0
1751442772752;1751442773218;466;light_left;0;50;1;0;0;1
1751442773218;1751442773699;481;stop;0;50;0;0;0;0
1751442773699;1751442774327;628;light_left;0;50;1;0;0;1
1751442774327;1751442774530;203;stop;0;50;0;0;0;0
1751442774530;1751442774964;434;stop;50;50;0;0;0;0
1751442774964;1751442775586;622;stop;0;50;0;0;0;0
1751442775586;1751442775767;181;light_left;0;50;1;0;0;1
1751442775767;1751442776163;396;stop;0;50;0;0;0;0
1751442776163;1751442776584;421;light_left;0;50;1;0;0;1
1751442776584;1751442777194;610;stop;0;50;0;0;0;0
1751442777194;1751442777432;238;stop;50;50;0;0;0;0
1751442777432;1751442777782;350;forward;50;50;1;0;0;1
1751442777782;1751442777898;116;stop;50;50;0;0;0;0
1751442777898;1751442778335;437;stop;0;50;0;0;0;0
1751442778335;1751442779369;1034;light_left;0;50;1;0;0;1
1751442779369;1751442779477;108;forward;50;50;1;0;0;1
1751442779477;1751442780350;873;stop;50;50;0;0;0;0
1751442780350;1751442780534;184;forward;50;50;1;0;0;1
1751442780534;1751442780705;171;stop;50;50;0;0;0;0
1751442780705;1751442781047;342;stop;50;0;0;0;0;0
1751442781047;1751442782451;1404;light_right;50;0;1;0;0;1
1751442782451;1751442782560;109;stop;50;0;0;0;0;0
1751442782560;1751442783640;1080;stop;50;50;0;0;0;0
1751442783640;1751442783864;224;backward;50;50;0;1;1;0
1751442783864;1751442784584;720;stop;50;50;0;0;0;0
1751442784584;1751442784801;217;forward;50;50;1;0;0;1
1751442784801;1751442785174;373;light_left;0;50;1;0;0;1
1751442785174;1751442785283;109;stop;0;50;0;0;0;0
1751442785283;1751442786058;775;stop;50;50;0;0;0;0
1751442786058;1751442786166;108;backward;50;50;0;1;1;0
1751442786166;1751442786514;348;stop;50;50;0;0;0;0
1751442786514;1751442786751;237;stop;0;50;0;0;0;0
1751442786751;1751442788656;1905;light_left;0;50;1;0;0;1
1751442788656;1751442789549;893;stop;0;50;0;0;0;0
1751442789549;1751442789703;154;stop;50;50;0;0;0;0
1751442789703;1751442790051;348;forward;50;50;1;0;0;1
1751442790051;1751442790534;483;stop;50;50;0;0;0;0
1751442790534;1751442791164;630;stop;0;50;0;0;0;0
1751442791164;1751442793103;1939;light_left;0;50;1;0;0;1
1751442793103;1751442793214;111;stop;0;50;0;0;0;0
1751442793214;1751442793888;674;stop;50;50;0;0;0;0
1751442793888;1751442794798;910;forward;50;50;1;0;0;1
1751442794798;1751442795491;693;stop;50;50;0;0;0;0
1751442795491;1751442795782;291;stop;0;50;0;0;0;0
1751442795782;1751442797106;1324;light_left;0;50;1;0;0;1
1751442797106;1751442797217;111;forward;50;50;1;0;0;1
1751442797217;1751442797427;210;stop;50;50;0;0;0;0
1751442797427;1751442797762;335;forward;50;50;1;0;0;1
1751442797762;1751442798438;676;stop;50;50;0;0;0;0
1751442798438;1751442798711;273;backward;50;50;0;1;1;0
1751442798711;1751442799273;562;stop;50;50;0;0;0;0
1751442799273;1751442799600;327;stop;0;50;0;0;0;0
1751442799600;1751442800627;1027;light_left;0;50;1;0;0;1
1751442800627;1751442800738;111;stop;0;50;0;0;0;0
1751442800738;1751442801711;973;stop;50;50;0;0;0;0
1751442801711;1751442802108;397;sharp_left;50;50;0;1;0;1
1751442802108;1751442802771;663;stop;50;50;0;0;0;0
1751442802771;1751442802894;123;sharp_left;50;50;0;1;0;1
1751442802894;1751442803542;648;stop;50;50;0;0;0;0
1751442803542;1751442804723;1181;forward;50;50;1;0;0;1
1751442804723;1751442805546;823;stop;50;50;0;0;0;0
1751442805546;1751442805786;240;stop;0;50;0;0;0;0
1751442805786;1751442807690;1904;light_left;0;50;1;0;0;1
1751442807690;1751442807815;125;forward;50;50;1;0;0;1
1751442807815;1751442807929;114;stop;50;50;0;0;0;0
1751442807929;1751442808117;188;forward;50;50;1;0;0;1
1751442808117;1751442808756;639;stop;50;50;0;0;0;0
1751442808756;1751442809073;317;stop;0;50;0;0;0;0
1751442809073;1751442809844;771;light_left;0;50;1;0;0;1
1751442809844;1751442809956;112;stop;0;50;0;0;0;0
1751442809956;1751442810409;453;stop;50;50;0;0;0;0
1751442810409;1751442810696;287;stop;0;50;0;0;0;0
1751442810696;1751442810864;168;light_left;0;50;1;0;0;1
1751442810864;1751442811190;326;stop;0;50;0;0;0;0
1751442811190;1751442811618;428;stop;50;50;0;0;0;0
1751442811618;1751442812099;481;forward;50;50;1;0;0;1
1751442812099;1751442813789;1690;stop;50;50;0;0;0;0
1751442813789;1751442814831;1042;sharp_left;50;50;0;1;0;1
1751442814831;1751442815516;685;stop;50;50;0;0;0;0
1751442815516;1751442815840;324;sharp_left;50;50;0;1;0;1
1751442815840;1751442816686;846;stop;50;50;0;0;0;0
1751442816686;1751442817592;906;forward;50;50;1;0;0;1
1751442817592;1751442817991;399;stop;50;50;0;0;0;0
1751442817991;1751442818257;266;stop;50;0;0;0;0;0
1751442818257;1751442819170;913;light_right;50;0;1;0;0;1
1751442819170;1751442819297;127;stop;50;0;0;0;0;0
1751442819297;1751442819911;614;stop;50;50;0;0;0;0
1751442819911;1751442820050;139;stop;0;50;0;0;0;0
1751442820050;1751442820588;538;stop;50;50;0;0;0;0
1751442820588;1751442820725;137;forward;50;50;1;0;0;1
1751442820725;1751442820897;172;stop;50;50;0;0;0;0
1751442820897;1751442821163;266;stop;0;50;0;0;0;0
1751442821163;1751442822465;1302;light_left;0;50;1;0;0;1
1751442822465;1751442822572;107;forward;50;50;1;0;0;1
1751442822572;1751442823163;591;stop;50;50;0;0;0;0
1751442823163;1751442823708;545;forward;50;50;1;0;0;1
1751442823708;1751442824033;325;stop;50;50;0;0;0;0
1751442824033;1751442824289;256;stop;0;50;0;0;0;0
1751442824289;1751442826218;1929;light_left;0;50;1;0;0;1
1751442826218;1751442826324;106;forward;50;50;1;0;0;1
1751442826324;1751442827196;872;stop;50;50;0;0;0;0
1751442827196;1751442827528;332;stop;0;50;0;0;0;0
1751442827528;1751442827715;187;light_left;0;50;1;0;0;1
1751442827715;1751442827826;111;stop;0;50;0;0;0;0
1751442827826;1751442828334;508;stop;50;50;0;0;0;0
1751442828334;1751442829282;948;forward;50;50;1;0;0;1
1751442829282;1751442830312;1030;stop;50;50;0;0;0;0
1751442830312;1751442831527;1215;sharp_left;50;50;0;1;0;1
1751442831527;1751442834683;3156;stop;50;50;0;0;0;0
1751442834683;1751442834800;117;sharp_right;50;50;1;0;1;0
1751442834800;1751442835515;715;stop;50;50;0;0;0;0
1751442835515;1751442836122;607;forward;50;50;1;0;0;1
1751442836122;1751442836310;188;stop;50;50;0;0;0;0
1751442836310;1751442836637;327;stop;50;0;0;0;0;0
1751442836637;1751442837171;534;light_right;50;0;1;0;0;1
1751442837171;1751442837281;110;forward;50;50;1;0;0;1
1751442837281;1751442837509;228;stop;50;50;0;0;0;0
1751442837509;1751442837777;268;stop;0;50;0;0;0;0
1751442837777;1751442838084;307;light_left;0;50;1;0;0;1
1751442838084;1751442838428;344;stop;0;50;0;0;0;0
1751442838428;1751442838763;335;stop;50;50;0;0;0;0
1751442838763;1751442839428;665;forward;50;50;1;0;0;1
1751442839428;1751442839650;222;stop;50;50;0;0;0;0
1751442839650;1751442839986;336;stop;0;50;0;0;0;0
1751442839986;1751442840455;469;light_left;0;50;1;0;0;1
1751442840455;1751442840565;110;stop;0;50;0;0;0;0
1751442840565;1751442841109;544;stop;50;50;0;0;0;0
1751442841109;1751442841239;130;forward;50;50;1;0;0;1
1751442841239;1751442841418;179;stop;50;50;0;0;0;0
1751442841418;1751442841668;250;stop;0;50;0;0;0;0
1751442841668;1751442842765;1097;light_left;0;50;1;0;0;1
1751442842765;1751442842870;105;forward;50;50;1;0;0;1
1751442842870;1751442843543;673;stop;50;50;0;0;0;0
1751442843543;1751442843907;364;forward;50;50;1;0;0;1
1751442843907;1751442844042;135;stop;50;50;0;0;0;0
1751442844042;1751442844325;283;stop;0;50;0;0;0;0
1751442844325;1751442844848;523;light_left;0;50;1;0;0;1
1751442844848;1751442844974;126;stop;0;50;0;0;0;0
1751442844974;1751442845181;207;stop;50;50;0;0;0;0
1751442845181;1751442845420;239;stop;0;50;0;0;0;0
1751442845420;1751442845897;477;light_left;0;50;1;0;0;1
1751442845897;1751442846005;108;stop;0;50;0;0;0;0
1751442846005;1751442846658;653;stop;50;50;0;0;0;0
1751442846658;1751442847007;349;forward;50;50;1;0;0;1
1751442847007;1751442847302;295;stop;50;50;0;0;0;0
1751442847302;1751442847442;140;stop;0;50;0;0;0;0
1751442847442;1751442849005;1563;light_left;0;50;1;0;0;1
1751442849005;1751442849143;138;stop;0;50;0;0;0;0
1751442849143;1751442849791;648;stop;50;50;0;0;0;0
1751442849791;1751442850149;358;forward;50;50;1;0;0;1
1751442850149;1751442850337;188;stop;50;50;0;0;0;0
1751442850337;1751442850558;221;stop;50;0;0;0;0;0
1751442850558;1751442851629;1071;light_right;50;0;1;0;0;1
1751442851629;1751442851749;120;stop;50;0;0;0;0;0
1751442851749;1751442852281;532;stop;50;50;0;0;0;0
1751442852281;1751442852532;251;forward;50;50;1;0;0;1
1751442852532;1751442852628;96;stop;50;50;0;0;0;0
1751442852628;1751442852821;193;stop;0;50;0;0;0;0
1751442852821;1751442853933;1112;light_left;0;50;1;0;0;1
1751442853933;1751442854045;112;stop;0;50;0;0;0;0
1751442854045;1751442854744;699;stop;50;50;0;0;0;0
1751442854744;1751442854998;254;stop;0;50;0;0;0;0
1751442854998;1751442855256;258;light_left;0;50;1;0;0;1
1751442855256;1751442855366;110;stop;0;50;0;0;0;0
1751442855366;1751442856075;709;stop;50;50;0;0;0;0
1751442856075;1751442856575;500;forward;50;50;1;0;0;1
1751442856575;1751442856912;337;stop;50;50;0;0;0;0
1751442856912;1751442857196;284;stop;0;50;0;0;0;0
1751442857196;1751442858874;1678;light_left;0;50;1;0;0;1
1751442858874;1751442858993;119;stop;0;50;0;0;0;0
1751442858993;1751442859664;671;stop;50;50;0;0;0;0
1751442859664;1751442860697;1033;forward;50;50;1;0;0;1
1751442860697;1751442860868;171;stop;50;50;0;0;0;0
1751442860868;1751442861056;188;stop;0;50;0;0;0;0
1751442861056;1751442862981;1925;light_left;0;50;1;0;0;1
1751442862981;1751442863090;109;stop;0;50;0;0;0;0
1751442863090;1751442863674;584;stop;50;50;0;0;0;0
1751442863674;1751442865071;1397;forward;50;50;1;0;0;1
1751442865071;1751442865557;486;stop;50;50;0;0;0;0
1751442865557;1751442865749;192;stop;0;50;0;0;0;0
1751442865749;1751442867400;1651;light_left;0;50;1;0;0;1
1751442867400;1751442867513;113;stop;0;50;0;0;0;0
1751442867513;1751442867989;476;stop;50;50;0;0;0;0
1751442867989;1751442868576;587;forward;50;50;1;0;0;1
1751442868576;1751442868887;311;stop;50;50;0;0;0;0
1751442868887;1751442869117;230;stop;0;50;0;0;0;0
1751442869117;1751442871239;2122;light_left;0;50;1;0;0;1
1751442871239;1751442871349;110;stop;0;50;0;0;0;0
1751442871349;1751442871987;638;stop;50;50;0;0;0;0
1751442871987;1751442872399;412;forward;50;50;1;0;0;1
1751442872399;1751442872808;409;stop;50;50;0;0;0;0
1751442872808;1751442873061;253;stop;50;0;0;0;0;0
1751442873061;1751442874131;1070;light_right;50;0;1;0;0;1
1751442874131;1751442874243;112;stop;50;0;0;0;0;0
1751442874243;1751442874905;662;stop;50;50;0;0;0;0
1751442874905;1751442875293;388;forward;50;50;1;0;0;1
1751442875293;1751442875427;134;stop;50;50;0;0;0;0
1751442875427;1751442875563;136;stop;0;50;0;0;0;0
1751442875563;1751442876967;1404;light_left;0;50;1;0;0;1
1751442876967;1751442877082;115;stop;0;50;0;0;0;0
1751442877082;1751442877381;299;stop;50;50;0;0;0;0
1751442877381;1751442877533;152;stop;0;50;0;0;0;0
1751442877533;1751442877984;451;stop;50;50;0;0;0;0
1751442877984;1751442878605;621;forward;50;50;1;0;0;1
1751442878605;1751442879141;536;stop;50;50;0;0;0;0
1751442879141;1751442879464;323;stop;0;50;0;0;0;0
1751442879464;1751442881243;1779;light_left;0;50;1;0;0;1
1751442881243;1751442881353;110;stop;0;50;0;0;0;0
1751442881353;1751442881888;535;stop;50;50;0;0;0;0
1751442881888;1751442882050;162;stop;50;0;0;0;0;0
1751442882050;1751442882291;241;light_right;50;0;1;0;0;1
1751442882291;1751442882406;115;stop;50;0;0;0;0;0
