start_time;end_time;duration_ms;direction_class;speedA;speedB;GPIO1;GPIO2;GPIO3;GPIO4
1751442722147;1751442722301;154;stop;0;50;0;0;0;0
1751442726480;1751442726589;109;stop;0;50;0;0;0;0
1751442732045;1751442732201;156;stop;50;0;0;0;0;0
1751442744028;1751442744155;127;stop;0;50;0;0;0;0
1751442751364;1751442751492;128;stop;50;50;0;0;0;0
1751442754996;1751442755184;188;stop;50;0;0;0;0;0
1751442755612;1751442755721;109;stop;50;0;0;0;0;0
1751442760590;1751442760751;161;stop;0;50;0;0;0;0
1751442760751;1751442760857;106;stop;50;50;0;0;0;0
1751442761238;1751442761393;155;stop;50;50;0;0;0;0
1751442761742;1751442761996;254;stop;50;50;0;0;0;0
1751442764867;1751442765064;197;stop;50;50;0;0;0;0
1751442771959;1751442772109;150;stop;50;50;0;0;0;0
1751442774327;1751442774530;203;stop;0;50;0;0;0;0
1751442777194;1751442777432;238;stop;50;50;0;0;0;0
1751442777782;1751442777898;116;stop;50;50;0;0;0;0
1751442780534;1751442780705;171;stop;50;50;0;0;0;0
1751442782451;1751442782560;109;stop;50;0;0;0;0;0
1751442785174;1751442785283;109;stop;0;50;0;0;0;0
1751442786514;1751442786751;237;stop;0;50;0;0;0;0
1751442789549;1751442789703;154;stop;50;50;0;0;0;0
1751442793103;1751442793214;111;stop;0;50;0;0;0;0
1751442795491;1751442795782;291;stop;0;50;0;0;0;0
1751442797217;1751442797427;210;stop;50;50;0;0;0;0
1751442800627;1751442800738;111;stop;0;50;0;0;0;0
1751442805546;1751442805786;240;stop;0;50;0;0;0;0
1751442807815;1751442807929;114;stop;50;50;0;0;0;0
1751442809844;1751442809956;112;stop;0;50;0;0;0;0
1751442810409;1751442810696;287;stop;0;50;0;0;0;0
1751442817991;1751442818257;266;stop;50;0;0;0;0;0
1751442819170;1751442819297;127;stop;50;0;0;0;0;0
1751442819911;1751442820050;139;stop;0;50;0;0;0;0
1751442820725;1751442820897;172;stop;50;50;0;0;0;0
1751442820897;1751442821163;266;stop;0;50;0;0;0;0
1751442824033;1751442824289;256;stop;0;50;0;0;0;0
1751442827715;1751442827826;111;stop;0;50;0;0;0;0
1751442836122;1751442836310;188;stop;50;50;0;0;0;0
1751442837281;1751442837509;228;stop;50;50;0;0;0;0
1751442837509;1751442837777;268;stop;0;50;0;0;0;0
1751442839428;1751442839650;222;stop;50;50;0;0;0;0
1751442840455;1751442840565;110;stop;0;50;0;0;0;0
1751442841239;1751442841418;179;stop;50;50;0;0;0;0
1751442841418;1751442841668;250;stop;0;50;0;0;0;0
1751442843907;1751442844042;135;stop;50;50;0;0;0;0
1751442844042;1751442844325;283;stop;0;50;0;0;0;0
1751442844848;1751442844974;126;stop;0;50;0;0;0;0
1751442844974;1751442845181;207;stop;50;50;0;0;0;0
1751442845181;1751442845420;239;stop;0;50;0;0;0;0
1751442845897;1751442846005;108;stop;0;50;0;0;0;0
1751442847007;1751442847302;295;stop;50;50;0;0;0;0
1751442847302;1751442847442;140;stop;0;50;0;0;0;0
1751442849005;1751442849143;138;stop;0;50;0;0;0;0
