time_in_ms;speedA;speedB;GPIO1;GPIO2;GPIO3;GPIO4
1754674834086;50;50;1;0;0;1
1754674834336;50;50;1;0;0;1
1754674834586;50;50;0;0;0;0
1754674834836;50;50;0;0;0;0
1754674835086;50;50;1;0;0;1
1754674835336;50;50;1;0;0;1
1754674835586;50;50;0;0;0;0
1754674835836;50;50;0;0;0;0
1754674836086;50;50;0;0;0;0
1754674836336;1;50;1;0;0;1
1754674836586;7;50;1;0;0;1
1754674836836;13;50;1;0;0;1
1754674837086;19;50;1;0;0;1
1754674837336;25;50;1;0;0;1
1754674837586;31;50;1;0;0;1
1754674837836;37;50;1;0;0;1
1754674838086;43;50;1;0;0;1
1754674838336;50;50;1;0;0;1
1754674838586;50;50;0;0;0;0
1754674838836;50;50;0;0;0;0
1754674839086;45;50;1;0;0;1
1754674839336;1;50;1;0;0;1
1754674839586;6;50;1;0;0;1
1754674839836;11;50;1;0;0;1
1754674840086;16;50;1;0;0;1
1754674840336;21;50;1;0;0;1
1754674840586;26;50;1;0;0;1
1754674840836;32;50;1;0;0;1
1754674841086;37;50;1;0;0;1
1754674841336;42;50;1;0;0;1
1754674841586;47;50;1;0;0;1
1754674841836;44;50;1;0;0;1
1754674842086;26;50;1;0;0;1
1754674842336;8;50;1;0;0;1
1754674842586;6;50;1;0;0;1
1754674842836;17;50;1;0;0;1
1754674843086;28;50;1;0;0;1
1754674843336;39;50;1;0;0;1
1754674843586;50;50;1;0;0;1
1754674843836;50;50;0;0;0;0
1754674844086;50;50;0;0;0;0
1754674844336;50;50;0;0;0;0
1754674844586;50;50;0;0;0;0
1754674844836;50;50;0;1;1;0
1754674845086;50;50;0;1;1;0
1754674845336;45;50;0;0;0;0
1754674845586;22;50;0;0;0;0
1754674845836;0;50;0;0;0;0
1754674846086;0;50;0;0;0;0
1754674846336;0;50;1;0;0;1
1754674846586;0;50;1;0;0;1
1754674846836;0;50;1;0;0;1
1754674847086;7;50;0;0;0;0
1754674847336;25;50;0;0;0;0
1754674847586;44;50;0;0;0;0
1754674847836;50;50;0;0;0;0
1754674848086;50;50;1;0;0;1
1754674848336;50;50;1;0;0;1
1754674848586;50;50;1;0;0;1
1754674848836;49;49;0;0;0;0
1754674849086;47;47;0;0;0;0
1754674849336;45;45;0;0;0;0
1754674849586;44;44;0;0;0;0
1754674849836;42;42;0;0;0;0
1754674850086;41;41;0;0;0;0
1754674850336;5;40;0;0;0;0
1754674850586;40;40;0;0;0;0
1754674850836;40;40;0;0;0;0
1754674851086;40;40;0;1;1;0
1754674851336;0;40;0;0;0;0
1754674851586;0;40;0;0;0;0
1754674851836;0;40;0;0;0;0
1754674852086;0;40;1;0;0;1
1754674852336;0;40;1;0;0;1
1754674852586;0;40;1;0;0;1
1754674852836;0;40;1;0;0;1
1754674853086;0;40;1;0;0;1
1754674853336;0;40;1;0;0;1
1754674853586;0;40;1;0;0;1
1754674853836;0;40;1;0;0;1
1754674854086;0;40;1;0;0;1
1754674854336;0;40;1;0;0;1
1754674854586;8;40;0;0;0;0
1754674854836;42;42;0;0;0;0
1754674855086;46;46;0;0;0;0
1754674855336;50;50;0;0;0;0
1754674855586;18;50;1;0;0;1
1754674855836;9;50;1;0;0;1
1754674856086;20;50;1;0;0;1
1754674856336;32;50;1;0;0;1
1754674856586;43;50;1;0;0;1
1754674856836;50;50;1;0;0;1
1754674857086;50;50;1;0;0;1
1754674857336;50;50;1;0;0;1
1754674857586;50;50;0;0;0;0
1754674857836;50;50;0;0;0;0
1754674858086;50;50;0;0;0;0
1754674858336;50;50;0;0;0;0
1754674858586;50;50;0;1;1;0
1754674858836;50;50;0;1;1;0
1754674859086;36;50;0;0;0;0
1754674859336;10;50;0;0;0;0
1754674859586;0;50;0;0;0;0
1754674859836;10;50;1;0;0;1
1754674860086;29;50;1;0;0;1
1754674860336;49;50;1;0;0;1
1754674860586;50;27;1;0;0;1
1754674860836;50;2;1;0;0;1
1754674861086;50;42;1;0;0;1
1754674861336;50;50;1;0;0;1
1754674861586;50;50;0;0;0;0
1754674861836;50;50;0;0;0;0
1754674862086;50;50;0;0;0;0
1754674862336;50;50;0;1;1;0
1754674862586;50;50;0;0;0;0
1754674862836;50;50;0;0;0;0
1754674863086;45;50;0;0;0;0
1754674863336;12;50;0;0;0;0
1754674863586;0;50;0;0;0;0
1754674863836;0;50;0;0;0;0
1754674864086;8;50;1;0;0;1
1754674864336;16;50;1;0;0;1
1754674864586;24;50;1;0;0;1
1754674864836;33;50;1;0;0;1
1754674865086;41;50;1;0;0;1
1754674865336;49;50;1;0;0;1
1754674865586;50;50;1;0;0;1
1754674865836;50;50;0;0;0;0
1754674866086;50;50;0;0;0;0
1754674866336;18;50;1;0;0;1
1754674866586;0;50;1;0;0;1
1754674866836;0;50;1;0;0;1
1754674867086;0;50;1;0;0;1
1754674867336;0;50;1;0;0;1
1754674867586;26;50;0;0;0;0
1754674867836;50;50;0;0;0;0
1754674868086;50;50;0;1;1;0
1754674868336;37;50;0;0;0;0
1754674868586;0;50;0;0;0;0
1754674868836;0;50;0;0;0;0
1754674869086;10;50;1;0;0;1
1754674869336;30;50;1;0;0;1
1754674869586;50;50;1;0;0;1
1754674869836;50;50;1;0;0;1
1754674870086;50;50;1;0;0;1
1754674870336;50;50;0;0;0;0
1754674870586;50;50;0;1;1;0
1754674870836;50;50;0;1;1;0
1754674871086;50;50;0;1;1;0
1754674871336;13;50;0;0;0;0
1754674871586;0;50;0;0;0;0
1754674871836;0;50;0;0;0;0
1754674872086;22;50;1;0;0;1
1754674872336;45;50;1;0;0;1
1754674872586;50;50;1;0;0;1
1754674872836;50;50;0;0;0;0
1754674873086;50;50;0;0;0;0
1754674873336;50;50;1;0;0;1
1754674873586;50;50;1;0;0;1
1754674873836;50;50;1;0;0;1
1754674874086;39;50;0;0;0;0
1754674874336;3;50;0;0;0;0
1754674874586;0;50;0;0;0;0
1754674874836;1;50;1;0;0;1
1754674875086;8;50;1;0;0;1
1754674875336;15;50;1;0;0;1
1754674875586;21;50;1;0;0;1
1754674875836;28;50;1;0;0;1
1754674876086;35;50;1;0;0;1
1754674876336;42;50;1;0;0;1
1754674876586;49;50;1;0;0;1
1754674876836;50;50;1;0;0;1
1754674877086;50;50;1;0;0;1
1754674877336;50;50;1;0;0;1
1754674877586;50;50;0;0;0;0
1754674877836;50;50;0;0;0;0
1754674878086;50;50;0;0;0;0
1754674878336;50;50;0;1;1;0
1754674878586;46;50;0;0;0;0
1754674878836;8;50;0;0;0;0
1754674879086;0;50;0;0;0;0
1754674879336;6;50;1;0;0;1
1754674879586;13;50;1;0;0;1
1754674879836;20;50;1;0;0;1
1754674880086;27;50;1;0;0;1
1754674880336;34;50;1;0;0;1
1754674880586;41;50;1;0;0;1
1754674880836;48;50;1;0;0;1
1754674881086;50;50;1;0;0;1
1754674881336;50;50;1;0;0;1
1754674881586;17;50;0;0;0;0
1754674881836;0;50;0;0;0;0
1754674882086;6;50;1;0;0;1
1754674882336;22;50;1;0;0;1
1754674882586;39;50;1;0;0;1
